TICKER_SYMBOL,END_DATE,COGS,OPERATE_PROFIT,N_INCOME,REVENUE
1,2008-03-31,2176920000,1376351000,1004182000,3553270000
1,2008-06-30,4274257000,2840996000,2143834000,7115253000
1,2008-09-30,6377202000,4364204000,3316994000,10741406000
1,2008-12-31,13709693000,803426000,614035000,14513119000
1,2009-03-31,2246970000,1513634000,1122077000,3760604000
1,2009-06-30,4569321000,2921529000,2311388000,7490850000
1,2009-09-30,6587504000,4526449000,3637419000,11113953000
1,2009-12-31,8955313000,6159127000,5030729000,15114440000
1,2010-03-31,2089101000,1995151000,1578118000,4084252000
1,2010-06-30,4691283000,3804828000,3033119000,8496111000
1,2010-09-30,7240139000,5919500000,4733940000,13159639000
1,2010-12-31,10171825000,7799948000,6246537000,17971773000
1,2011-03-31,2755081000,3059957000,2402199000,5815038000
1,2011-06-30,6090059000,6047208000,4731138000,12137267000
1,2011-09-30,10882540000,9818861000,7745077000,20701401000
1,2011-12-31,16510360000,13132701000,10390491000,29643061000
1,2012-03-31,5259000000,4465000000,3495000000,9724000000
1,2012-06-30,10789000000,8837000000,6870000000,19626000000
1,2012-09-30,16172000000,13359000000,10346000000,29531000000
1,2012-12-31,22206987000,17541661000,13510780000,39748648000
1,2013-03-31,6085000000,4717000000,3589000000,10802000000
1,2013-06-30,13532000000,9894000000,7531000000,23426000000
1,2013-09-30,22038000000,15307000000,11696000000,37345000000
1,2013-12-31,32234000000,19955000000,15231000000,52189000000
1,2014-03-31,9388000000,6712000000,5054000000,16100000000
1,2014-06-30,21388000000,13345000000,10072000000,34733000000
1,2014-09-30,33880000000,20771000000,15694000000,54651000000
1,2014-12-31,47161000000,26246000000,19802000000,73407000000
1,2015-03-31,13224000000,7447000000,5629000000,20671000000
1,2015-06-30,31308000000,15267000000,11585000000,46575000000
1,2015-09-30,47847000000,23305000000,17740000000,71152000000
1,2015-12-31,67268000000,28895000000,21865000000,96163000000
1,2016-03-31,19518000000,8014000000,6086000000,27532000000
1,2016-06-30,38613000000,16156000000,12292000000,54769000000
1,2016-09-30,57423000000,24545000000,18719000000,81968000000
1,2016-12-31,77936000000,29779000000,22599000000,107715000000
1,2017-03-31,19484000000,8242000000,6214000000,27726000000
1,2017-06-30,37605000000,16468000000,12554000000,54073000000
1,2017-09-30,54833000000,25000000000,19153000000,79833000000
1,2017-12-31,75563000000,30223000000,23189000000,105786000000
1,2018-03-31,19442000000,8584000000,6595000000,28026000000
5,2008-03-31,8658388.88,-3870237.88,2261319.16,18475330.08
5,2008-06-30,17262814.26,-4697803.98,5488803.32,44578449.52
5,2008-09-30,29481962.65,81325.1,10302094.51,86678094.54
5,2008-12-31,47317728.08,-34416514.94,10499719.92,108720264.83
5,2009-03-31,4001041.5,-4648729.8,3802025.88,10602371.7
5,2009-06-30,9508091.44,-10735955.96,-2164648.78,19003356.93
5,2009-09-30,23639068.04,-20445504.03,-11721761.19,34268768.3
5,2009-12-31,34759285.4,-81190360.03,-48919528.98,43192476.48
5,2010-03-31,5945489.65,-6893419.47,-6893419.47,11082823.98
5,2010-06-30,13541336.14,-15975547.69,-16008152.55,22641936.63
5,2010-09-30,24308004.3,-25097393.58,-26524804.13,34220542.84
5,2010-12-31,77821055.07,-10606219.67,-4426387.1,137234232.85
5,2011-03-31,5369354.33,-6291033.08,-6291033.08,10008865.96
5,2011-06-30,21463409.25,-19896426.12,27123363.32,29109834.88
5,2011-09-30,38218433.44,-33407932.45,13656651.93,43028934.43
5,2011-12-31,60446116.74,-66233064.1,11414651.25,63534839.01
5,2012-03-31,8858619.97,-12241064.42,-12225578.78,12774857.7
5,2012-06-30,27473265.75,-29410344.46,-29258188.88,29715656.64
5,2012-09-30,43694138.31,-41498323.09,-13387604.4,46160382.85
5,2012-12-31,64130541.33,-4649623.73,22021617.89,99421227.75
5,2013-03-31,9506615.41,-9235389.53,-9235389.53,12969461.68
5,2013-06-30,21257343.69,-22536506.75,-22456860.14,22084734.19
5,2013-09-30,28939615.81,-29094799.32,-29000088.9,32025624.11
5,2013-12-31,38863755.08,-44717841.08,-42344755.22,52061702.69
5,2014-03-31,9985068.18,-8682208.39,-8682228.39,12181520.91
5,2014-06-30,19829358.22,-25277385.05,-25219942.17,23856492.74
5,2014-09-30,27344353.81,-31755597.22,-31948217.35,35845232.95
5,2014-12-31,38927218.58,53515574.98,43163944.16,52776994.29
5,2015-03-31,9474949.91,-8031769.8,-8066504.98,13485334.94
5,2015-06-30,25426694.11,-23428015.29,-23188508.26,36285339.2
5,2015-09-30,34198714.66,-30252619.8,-29836022.32,45757165.44
5,2015-12-31,57608246.98,-59377412.59,-54031716.5,84125970.69
5,2016-03-31,21822309.43,-7062394.29,-6420800.8,43421543.62
5,2016-06-30,130681922.24,135304892.25,131363454.37,189952624.19
5,2016-09-30,249050623.43,149747109.45,141884379.83,350496893.11
5,2016-12-31,336523034.6,128915638.65,116962419.87,481863433.31
5,2017-03-31,47109121.46,-14721896.82,-9706812.75,71449798.44
5,2017-06-30,141578606.45,-14929431.4,-15057983.06,203598763.15
5,2017-09-30,220390406.43,-9649305.01,-11073937.2,314227161.81
